Stage of the Supply Chain,Risk Factor,Risk Type,Impact Level,Likelihood,Region/Market,Description of the Risk,Mitigation Strategy,Transportation Mode,Transportation Cost,Real-World Data Examples,Risk Duration,Risk Source,Supply Chain Resilience,Historical Frequency,Supply Chain Dependency,Regulatory Impact,Financial Impact,Time to Recovery,Supplier Impact,Backup Strategy,Impact on Product Quality,Probability of Occurrence,Recovery Time Objective (RTO),Business Continuity Plan (BCP)
Sourcing,Labor Strikes,Compliance,Medium,Unlikely,Europe,Risk related to Labor Strikes impacting Sourcing in Europe,Mitigation strategy for Labor Strikes in Europe,Sea,739.7725976493798,Real-world example of Labor Strikes in Europe,Ongoing,Internal,Medium,Never,Important,Yes,269084.1178636744,hours,Major disruption,No,Medium,90%,24 hours,No
Retail,Supplier Issues,Compliance,Medium,Very Likely,Europe,Risk related to Supplier Issues impacting Retail in Europe,Mitigation strategy for Supplier Issues in Europe,Rail,191.925605240001,Real-world example of Supplier Issues in Europe,Short-term,External,High,Occasionally,Minor,No,845418.0434500563,weeks,Minor delay,No,Low,50%,72 hours,Yes
Manufacturing,Cyberattacks,Technological,High,Possible,United States,Risk related to Cyberattacks impacting Manufacturing in United States,Mitigation strategy for Cyberattacks in United States,Sea,558.7425204770844,Real-world example of Cyberattacks in United States,Short-term,External,High,Rarely,Important,Yes,76332.33741052415,days,Minor delay,Yes,High,50%,1 week,No
Retail,Labor Strikes,Economic,Medium,Possible,West Africa,Risk related to Labor Strikes impacting Retail in West Africa,Mitigation strategy for Labor Strikes in West Africa,Sea,359.49259590754184,Real-world example of Labor Strikes in West Africa,Short-term,Internal,High,Frequently,Minor,No,813635.7243622777,days,No effect,No,Low,50%,24 hours,Yes
Distribution,Labor Strikes,Operational,Medium,Very Likely,West Africa,Risk related to Labor Strikes impacting Distribution in West Africa,Mitigation strategy for Labor Strikes in West Africa,Road,370.1322636425533,Real-world example of Labor Strikes in West Africa,Short-term,External,Low,Rarely,Minor,Yes,780664.0540891356,days,Major disruption,No,Low,50%,24 hours,Yes
Distribution,Cyberattacks,Operational,Low,Unlikely,Europe,Risk related to Cyberattacks impacting Distribution in Europe,Mitigation strategy for Cyberattacks in Europe,Road,492.82249198089454,Real-world example of Cyberattacks in Europe,Ongoing,External,High,Frequently,Critical,No,289983.0861592854,weeks,Minor delay,No,High,90%,24 hours,Yes
Distribution,Supplier Issues,Financial,High,Unlikely,Europe,Risk related to Supplier Issues impacting Distribution in Europe,Mitigation strategy for Supplier Issues in Europe,Road,796.7497197341223,Real-world example of Supplier Issues in Europe,Ongoing,Internal,Low,Occasionally,Important,Yes,950911.4672740138,weeks,Major disruption,No,High,90%,24 hours,Yes
Sourcing,Supplier Issues,Financial,Low,Very Likely,India,Risk related to Supplier Issues impacting Sourcing in India,Mitigation strategy for Supplier Issues in India,Rail,983.32923754707,Real-world example of Supplier Issues in India,Ongoing,Internal,High,Occasionally,Important,Yes,343091.88771783846,hours,Major disruption,Yes,Low,50%,1 week,Yes
Distribution,Supplier Issues,Social,Medium,Likely,Europe,Risk related to Supplier Issues impacting Distribution in Europe,Mitigation strategy for Supplier Issues in Europe,Sea,943.8535327428981,Real-world example of Supplier Issues in Europe,Ongoing,Internal,Low,Occasionally,Minor,Yes,659625.4393759874,days,Major disruption,Yes,High,50%,1 week,Yes
Retail,Labor Strikes,Operational,Medium,Unlikely,Europe,Risk related to Labor Strikes impacting Retail in Europe,Mitigation strategy for Labor Strikes in Europe,Air,636.8506314584256,Real-world example of Labor Strikes in Europe,Ongoing,External,High,Rarely,Minor,Yes,540972.4144171689,hours,No effect,Yes,Low,50%,24 hours,Yes
